run_id,stage,example,n_disc,a_disc,discount,seed,w_lr,num_updates,p,M,sampled_cost,idealized_cost,gap,abs_gap,rel_gap,reference_run_id
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.5,0,3.63387848926,3.52616780039,0.107710688871,0.107710688871,0.0305461041473,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.5,0.3,2.91230197202,2.84532654751,0.0669754245076,0.0669754245076,0.0235387479747,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.5,0.6,2.90607308009,2.91171243014,-0.00563935004779,0.00563935004779,0.00193678125264,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.5,1,3.06472734451,3.07229131016,-0.0075639656519,0.0075639656519,0.00246199493742,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.75,0,4.29787755093,4.19400696856,0.103870582373,0.103870582373,0.0247664305642,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.75,0.3,3.25064299585,3.1541974164,0.0964455794465,0.0964455794465,0.0305769001474,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.75,0.6,3.0432442401,3.04220068871,0.00104355138863,0.00104355138863,0.000343025163495,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.75,1,3.18698330337,3.19328718448,-0.00630388110902,0.00630388110902,0.00197410403288,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,1,0,4.88380952376,4.85333333329,0.0304761904754,0.0304761904754,0.00627943485076,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,1,0.3,3.62666666664,3.55238095235,0.0742857142857,0.0742857142857,0.0209115281503,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,1,0.6,3.23809523807,3.23809523807,0,0,0,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,1,1,3.36761904759,3.37904761902,-0.0114285714284,0.0114285714284,0.00338218714767,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,5000000,0,0,2.17030303023,2.1672727272,0.0030303030303,0.0030303030303,0.00139821029087,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,5000000,0,0.3,2.29352522841,2.37415664133,-0.0806314129199,0.0806314129199,0.0339621284949,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,5000000,0,0.6,2.74486966836,2.75032120293,-0.00545153456474,0.00545153456474,0.00198214468875,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,5000000,0,1,2.93392985414,2.93291944096,0.00101041317885,0.00101041317885,0.000344507648163,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,5000000,0.25,0,2.86750276847,2.85040974521,0.0170930232558,0.0170930232558,0.00599668987397,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,5000000,0.25,0.3,2.6018892909,2.59184830534,0.0100409855572,0.0100409855572,0.0038740637469,s1_sysrisk_samegrid
s2_sysrisk_w075_u05m_seed02,stage2_sysrisk_screen,sysrisk,5,2,0.5,2,0.75,5000000,0.25,0.6,2.80042162468,2.81922388674,-0.018802262057,0.018802262057,0.00666930432358,s1_sysrisk_samegrid
