run_id,stage,task,solver,example,n_disc,a_disc,discount,seed,w_lr,num_updates,p,M,cost
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.05,2.63683464435
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.06,2.63644887078
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.08,2.6348101079
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.1,2.63173322599
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.15,2.63332670258
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.2,2.63972870669
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.3,2.64186285364
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.5,2.64276325965
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,0.75,2.64276325965
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.375,1,2.64276325965
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0,2.68426128954
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.005,2.65976590142
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.01,2.65850140165
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.02,2.65694901166
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.03,2.65547253923
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.04,2.65445505093
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.05,2.65536728651
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.06,2.65476762313
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.08,2.65068810403
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.1,2.64241463474
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.15,2.64094004995
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.2,2.64529810158
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.3,2.64566119495
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.5,2.6461597081
s1_seir_main,stage1_idealized,idealized_profile,idealized,seir,8,10,0.9,,0.7,,0.5,0.75,2.6461597081
