run_id,stage,example,n_disc,a_disc,discount,seed,w_lr,num_updates,p,M,sampled_cost,idealized_cost,gap,abs_gap,rel_gap,reference_run_id,outlier_threshold
s2_sysrisk_w075_u05m_seed04,stage2_sysrisk_screen,sysrisk,5,2,0.5,4,0.75,5000000,0.75,0.3,3.2276510224,3.1541974164,0.0734536060006,0.0734536060006,0.023287574081,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u10m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.85,10000000,0.75,0.3,3.2276510224,3.1541974164,0.0734536060006,0.0734536060006,0.023287574081,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.85,10000000,0.75,0.3,3.2276510224,3.1541974164,0.0734536060006,0.0734536060006,0.023287574081,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.75,10000000,0.75,0,4.26710917529,4.19400696856,0.0731022067354,0.0731022067354,0.0174301586248,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.8,10000000,0.75,0,4.26710917529,4.19400696856,0.0731022067354,0.0731022067354,0.0174301586248,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u10m_seed03,stage2_sysrisk_screen,sysrisk,5,2,0.5,3,0.85,10000000,0.75,0,4.26710917529,4.19400696856,0.0731022067354,0.0731022067354,0.0174301586248,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed00,stage2_sysrisk_screen,sysrisk,5,2,0.5,0,0.8,5000000,0.75,1,3.12027895986,3.19328718448,-0.0730082246238,0.0730082246238,0.0228630312296,s1_sysrisk_samegrid,0.01
s2_sysrisk_w075_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.75,5000000,0.25,0,2.92327221029,2.85040974521,0.0728624650824,0.0728624650824,0.0255621021521,s1_sysrisk_samegrid,0.01
s2_sysrisk_w080_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.8,5000000,0.25,0,2.92327221029,2.85040974521,0.0728624650824,0.0728624650824,0.0255621021521,s1_sysrisk_samegrid,0.01
s2_sysrisk_w085_u05m_seed01,stage2_sysrisk_screen,sysrisk,5,2,0.5,1,0.85,5000000,0.25,0,2.92327221029,2.85040974521,0.0728624650824,0.0728624650824,0.0255621021521,s1_sysrisk_samegrid,0.01
