run_id,stage,study,example,n_disc,a_disc,discount,M,seed,w_lr,num_updates,step,q_sup_error,q_mae_error,bellman_residual_inf,coverage_pct,min_visits,mean_visits,policy_gap_abs_p0,policy_gap_abs_p05,policy_gap_abs_p1,policy_cost_p1,reference_cost_p1
s0_sis_convergence_seed00,stage0_smoke,smoke,sis,8,3,0.5,0.3,0,0.7,1000,93,0.5191604217993364,0.310656250282817,0.2964085066160227,100.0,2.0,2.5833333333333335,0.019750692755254762,0.019683275480449236,0.027391975305498084,1.148919753046896,1.121527777741398
s0_sis_convergence_seed00,stage0_smoke,smoke,sis,8,3,0.5,0.3,0,0.7,1000,150,0.3061607900725325,0.21836308908807409,0.17621575083413177,100.0,4.0,4.166666666666667,0.013747491613688045,0.02218819013554363,0.032407407361865426,1.1539351851032633,1.121527777741398
s0_sis_convergence_seed00,stage0_smoke,smoke,sis,8,3,0.5,0.3,0,0.7,1000,241,0.20680313371940628,0.14657178291604403,0.11858622587113765,100.0,6.0,6.694444444444445,0.0,0.0,0.0,1.121527777741398,1.121527777741398
s0_sis_convergence_seed00,stage0_smoke,smoke,sis,8,3,0.5,0.3,0,0.7,1000,387,0.12103112692573847,0.0914613723773054,0.06730295587082025,100.0,10.0,10.75,0.0015046296296293837,0.0013310185185186896,0.0011574074074074403,1.1226851851488053,1.121527777741398
s0_sis_convergence_seed00,stage0_smoke,smoke,sis,8,3,0.5,0.3,0,0.7,1000,622,0.06781778799781435,0.05428796150769539,0.03671842569385664,100.0,17.0,17.27777777777778,0.0,0.0,0.0,1.121527777741398,1.121527777741398
s0_sis_convergence_seed00,stage0_smoke,smoke,sis,8,3,0.5,0.3,0,0.7,1000,1000,0.03514955964999833,0.02944795326900877,0.018059403455225387,100.0,27.0,27.77777777777778,0.0,0.0,0.0,1.121527777741398,1.121527777741398
s0_sysrisk_convergence_seed00,stage0_smoke,smoke,sysrisk,2,2,0.5,0.3,0,0.7,3000,1296,2.8101869567976885,1.7628803782489175,2.0,100.0,1.0,1.0,0.8806555863633605,0.32803210464461285,0.16666666666424135,3.499999999974534,3.6666666666387755
s0_sysrisk_convergence_seed00,stage0_smoke,smoke,sysrisk,2,2,0.5,0.3,0,0.7,3000,1461,2.8101869567976885,1.6746034799999112,2.0,100.0,1.0,1.1273148148148149,0.8806555863633605,0.32803210464461285,0.16666666666424135,3.499999999974534,3.6666666666387755
s0_sysrisk_convergence_seed00,stage0_smoke,smoke,sysrisk,2,2,0.5,0.3,0,0.7,3000,1647,2.8101869567976885,1.5756183473759302,2.0,100.0,1.0,1.2708333333333333,0.8806555863633605,0.32803210464461285,0.16666666666424135,3.499999999974534,3.6666666666387755
s0_sysrisk_convergence_seed00,stage0_smoke,smoke,sysrisk,2,2,0.5,0.3,0,0.7,3000,1857,2.8101869567976885,1.467680440099481,2.0,100.0,1.0,1.4328703703703705,0.7905355494347406,0.0351466507994278,0.49999999999272404,3.1666666666460515,3.6666666666387755
s0_sysrisk_convergence_seed00,stage0_smoke,smoke,sysrisk,2,2,0.5,0.3,0,0.7,3000,2094,2.8101869567976885,1.3411709930807008,2.0,100.0,1.0,1.6157407407407407,0.49597653980046363,0.18503604672997653,0.08333333333212067,3.583333333306655,3.6666666666387755
s0_sysrisk_convergence_seed00,stage0_smoke,smoke,sysrisk,2,2,0.5,0.3,0,0.7,3000,2360,2.8101869567976885,1.2017433629822412,2.0,100.0,1.0,1.8209876543209877,0.3623245614173509,0.034633620688138134,0.04166666666666652,3.624999999972109,3.6666666666387755
